Symbol,Date,Type,Signal_Time,Entry_Time,Entry,Stop,Target,Qty,Risk_Per_Share,Exit,Result,PnL,Equity,Peak,Drawdown
KEC.NS,2026-06-29,SHORT,2026-06-29 09:31:00+05:30,2026-06-29 09:32:00+05:30,525.4,528.35,516.55,8,2.95,528.35,SL,-23.6,2476.4,2476.4,0.0
KEC.NS,2026-07-02,SHORT,2026-07-02 09:23:00+05:30,2026-07-02 09:24:00+05:30,518.85,519.0,518.4,166,0.15,519.0,SL,-24.9,2451.5,2476.4,-24.90000000000009
NBCC.NS,2026-07-01,SHORT,2026-07-01 09:52:00+05:30,2026-07-01 09:53:00+05:30,104.4,104.64,103.68,104,0.24,104.64,SL,-24.96,2426.54,2476.4,-49.86000000000013
NBCC.NS,2026-07-02,SHORT,2026-07-02 10:06:00+05:30,2026-07-02 10:07:00+05:30,103.83,104.22,102.66,64,0.39,102.66,TARGET,74.88,2501.42,2501.42,0.0
ACC.NS,2026-06-29,SHORT,2026-06-29 10:50:00+05:30,2026-06-29 10:51:00+05:30,1333.6,1334.8,1330.0,20,1.2,1334.8,SL,-24.0,2477.42,2501.42,-24.0
ACC.NS,2026-06-30,SHORT,2026-06-30 09:23:00+05:30,2026-06-30 09:24:00+05:30,1325.8,1326.3,1324.3,50,0.5,1326.3,SL,-25.0,2452.42,2501.42,-49.0
ACC.NS,2026-07-01,LONG,2026-07-01 10:31:00+05:30,2026-07-01 10:32:00+05:30,1334.3,1330.7,1345.1,6,3.6,1330.7,SL,-21.6,2430.82,2501.42,-70.59999999999991
ACC.NS,2026-07-03,LONG,2026-07-03 09:23:00+05:30,2026-07-03 09:24:00+05:30,1364.5,1361.3,1374.1,7,3.2,1374.1,TARGET,67.2,2498.02,2501.42,-3.400000000000091
AMBUJACEM.NS,2026-06-30,SHORT,2026-06-30 09:31:00+05:30,2026-06-30 09:32:00+05:30,420.5,421.0,419.0,50,0.5,421.0,SL,-25.0,2473.02,2501.42,-28.40000000000009
AMBUJACEM.NS,2026-07-01,SHORT,2026-07-01 09:20:00+05:30,2026-07-01 09:21:00+05:30,419.65,419.85,419.05,124,0.2,419.85,SL,-24.8,2448.22,2501.42,-53.20000000000027
AMBUJACEM.NS,2026-07-02,LONG,2026-07-02 09:37:00+05:30,2026-07-02 09:38:00+05:30,423.3,422.45,425.85,29,0.85,425.85,TARGET,73.95,2522.17,2522.17,0.0
AMBUJACEM.NS,2026-07-03,LONG,2026-07-03 09:20:00+05:30,2026-07-03 09:21:00+05:30,432.35,430.2,438.8,11,2.15,438.8,TARGET,70.95,2593.12,2593.12,0.0
IOC.NS,2026-06-30,SHORT,2026-06-30 09:41:00+05:30,2026-06-30 09:42:00+05:30,138.85,138.92,138.64,357,0.07,138.64,TARGET,74.96,2668.08,2668.08,0.0
GAIL.NS,2026-06-29,SHORT,2026-06-29 09:17:00+05:30,2026-06-29 09:18:00+05:30,171.81,172.86,168.66,23,1.05,172.86,SL,-24.15,2643.93,2668.08,-24.15000000000009
GAIL.NS,2026-06-30,LONG,2026-06-30 09:22:00+05:30,2026-06-30 09:23:00+05:30,173.98,173.53,175.33,55,0.45,173.53,SL,-24.75,2619.18,2668.08,-48.90000000000009
GAIL.NS,2026-07-03,LONG,2026-07-03 10:12:00+05:30,2026-07-03 10:13:00+05:30,174.99,174.76,175.68,108,0.23,175.68,TARGET,74.52,2693.7,2693.7,0.0
ONGC.NS,2026-06-29,SHORT,2026-06-29 13:15:00+05:30,2026-06-29 13:16:00+05:30,232.05,233.15,228.75,22,1.1,233.15,SL,-24.2,2669.5,2693.7,-24.199999999999818
ONGC.NS,2026-06-30,SHORT,2026-06-30 10:06:00+05:30,2026-06-30 10:07:00+05:30,229.4,231.15,224.15,14,1.75,231.15,SL,-24.5,2645.0,2693.7,-48.69999999999982
ONGC.NS,2026-07-02,SHORT,2026-07-02 09:28:00+05:30,2026-07-02 09:29:00+05:30,233.31,233.64,232.32,75,0.33,233.64,SL,-24.75,2620.25,2693.7,-73.44999999999982
KOTAKBANK.NS,2026-06-30,SHORT,2026-06-30 12:55:00+05:30,2026-06-30 12:56:00+05:30,394.1,394.75,392.15,38,0.65,394.75,SL,-24.7,2595.55,2693.7,-98.14999999999964
KOTAKBANK.NS,2026-07-01,LONG,2026-07-01 09:16:00+05:30,2026-07-01 09:17:00+05:30,396.55,394.65,402.25,13,1.9,394.65,SL,-24.7,2570.85,2693.7,-122.84999999999991
KOTAKBANK.NS,2026-07-03,SHORT,2026-07-03 10:46:00+05:30,2026-07-03 10:47:00+05:30,397.2,397.55,396.15,71,0.35,397.15,LAST_EXIT,3.55,2574.4,2693.7,-119.29999999999973
AXISBANK.NS,2026-06-29,SHORT,2026-06-29 12:23:00+05:30,2026-06-29 12:24:00+05:30,1373.0,1373.4,1371.8,62,0.4,1373.4,SL,-24.8,2549.6,2693.7,-144.0999999999999
AXISBANK.NS,2026-07-01,LONG,2026-07-01 12:09:00+05:30,2026-07-01 12:10:00+05:30,1375.1,1374.0,1378.4,22,1.1,1374.0,SL,-24.2,2525.4,2693.7,-168.29999999999973
AXISBANK.NS,2026-07-03,SHORT,2026-07-03 10:35:00+05:30,2026-07-03 10:36:00+05:30,1358.1,1359.1,1355.1,25,1.0,1359.1,SL,-25.0,2500.4,2693.7,-193.29999999999973
SBIN.NS,2026-06-29,SHORT,2026-06-29 11:33:00+05:30,2026-06-29 11:34:00+05:30,1037.5,1041.95,1024.15,5,4.45,1035.2,EOD_EXIT,11.5,2511.9,2693.7,-181.79999999999973
SBIN.NS,2026-07-02,LONG,2026-07-02 09:17:00+05:30,2026-07-02 09:18:00+05:30,1052.6,1048.0,1066.4,5,4.6,1048.0,SL,-23.0,2488.9,2693.7,-204.79999999999973
SBIN.NS,2026-07-03,SHORT,2026-07-03 09:40:00+05:30,2026-07-03 09:41:00+05:30,1044.6,1046.7,1038.3,11,2.1,1046.7,SL,-23.1,2465.8,2693.7,-227.89999999999964
HDFCBANK.NS,2026-06-29,SHORT,2026-06-29 09:34:00+05:30,2026-06-29 09:35:00+05:30,794.35,795.6,790.6,20,1.25,795.6,SL,-25.0,2440.8,2693.7,-252.89999999999964
HDFCBANK.NS,2026-07-02,LONG,2026-07-02 09:20:00+05:30,2026-07-02 09:21:00+05:30,805.25,801.55,816.35,6,3.7,801.55,SL,-22.2,2418.6,2693.7,-275.0999999999999
HDFCBANK.NS,2026-07-03,LONG,2026-07-03 10:29:00+05:30,2026-07-03 10:30:00+05:30,806.15,804.7,810.5,17,1.45,804.7,SL,-24.65,2393.95,2693.7,-299.75
ICICIBANK.NS,2026-06-30,SHORT,2026-06-30 09:52:00+05:30,2026-06-30 09:53:00+05:30,1383.0,1384.6,1378.2,15,1.6,1384.6,SL,-24.0,2369.95,2693.7,-323.75
ICICIBANK.NS,2026-07-02,LONG,2026-07-02 09:24:00+05:30,2026-07-02 09:25:00+05:30,1387.0,1382.5,1400.5,5,4.5,1400.5,TARGET,67.5,2437.45,2693.7,-256.25
